"","index","Store","Date","Temperature","Fuel_Price","MarkDown1","MarkDown2","MarkDown3","MarkDown4","MarkDown5","CPI","Unemployment","IsHoliday"
"1",0,1,"2010-02-05",42.31,2.572,NA,NA,NA,NA,NA,211.0963582,8.106,0
"2",1,1,"2010-02-12",38.51,2.548,NA,NA,NA,NA,NA,211.2421698,8.106,1
"3",2,1,"2010-02-19",39.93,2.514,NA,NA,NA,NA,NA,211.2891429,8.106,0
"4",3,1,"2010-02-26",46.63,2.561,NA,NA,NA,NA,NA,211.3196429,8.106,0
"5",4,1,"2010-03-05",46.5,2.625,NA,NA,NA,NA,NA,211.3501429,8.106,0
"6",5,1,"2010-03-12",57.79,2.667,NA,NA,NA,NA,NA,211.3806429,8.106,0
"7",6,1,"2010-03-19",54.58,2.72,NA,NA,NA,NA,NA,211.215635,8.106,0
"8",7,1,"2010-03-26",51.45,2.732,NA,NA,NA,NA,NA,211.0180424,8.106,0
"9",8,1,"2010-04-02",62.27,2.719,NA,NA,NA,NA,NA,210.8204499,7.808,0
"10",9,1,"2010-04-09",65.86,2.77,NA,NA,NA,NA,NA,210.6228574,7.808,0
"11",10,1,"2010-04-16",66.32,2.808,NA,NA,NA,NA,NA,210.4887,7.808,0
"12",11,1,"2010-04-23",64.84,2.795,NA,NA,NA,NA,NA,210.4391228,7.808,0
"13",12,1,"2010-04-30",67.41,2.78,NA,NA,NA,NA,NA,210.3895456,7.808,0
"14",13,1,"2010-05-07",72.55,2.835,NA,NA,NA,NA,NA,210.3399684,7.808,0
"15",14,1,"2010-05-14",74.78,2.854,NA,NA,NA,NA,NA,210.3374261,7.808,0
"16",15,1,"2010-05-21",76.44,2.826,NA,NA,NA,NA,NA,210.6170934,7.808,0
"17",16,1,"2010-05-28",80.44,2.759,NA,NA,NA,NA,NA,210.8967606,7.808,0
"18",17,1,"2010-06-04",80.69,2.705,NA,NA,NA,NA,NA,211.1764278,7.808,0
"19",18,1,"2010-06-11",80.43,2.668,NA,NA,NA,NA,NA,211.4560951,7.808,0
"20",19,1,"2010-06-18",84.11,2.637,NA,NA,NA,NA,NA,211.4537719,7.808,0
"21",20,1,"2010-06-25",84.34,2.653,NA,NA,NA,NA,NA,211.3386526,7.808,0
"22",21,1,"2010-07-02",80.91,2.669,NA,NA,NA,NA,NA,211.2235333,7.787,0
"23",22,1,"2010-07-09",80.48,2.642,NA,NA,NA,NA,NA,211.108414,7.787,0
"24",23,1,"2010-07-16",83.15,2.623,NA,NA,NA,NA,NA,211.1003854,7.787,0
"25",24,1,"2010-07-23",83.36,2.608,NA,NA,NA,NA,NA,211.2351443,7.787,0
"26",25,1,"2010-07-30",81.84,2.64,NA,NA,NA,NA,NA,211.3699032,7.787,0
"27",26,1,"2010-08-06",87.16,2.627,NA,NA,NA,NA,NA,211.5046621,7.787,0
"28",27,1,"2010-08-13",87,2.692,NA,NA,NA,NA,NA,211.6394211,7.787,0
"29",28,1,"2010-08-20",86.65,2.664,NA,NA,NA,NA,NA,211.6033633,7.787,0
"30",29,1,"2010-08-27",85.22,2.619,NA,NA,NA,NA,NA,211.5673056,7.787,0
"31",30,1,"2010-09-03",81.21,2.577,NA,NA,NA,NA,NA,211.5312479,7.787,0
"32",31,1,"2010-09-10",78.69,2.565,NA,NA,NA,NA,NA,211.4951902,7.787,1
"33",32,1,"2010-09-17",82.11,2.582,NA,NA,NA,NA,NA,211.5224596,7.787,0
"34",33,1,"2010-09-24",80.94,2.624,NA,NA,NA,NA,NA,211.5972246,7.787,0
"35",34,1,"2010-10-01",71.89,2.603,NA,NA,NA,NA,NA,211.6719895,7.838,0
"36",35,1,"2010-10-08",63.93,2.633,NA,NA,NA,NA,NA,211.7467544,7.838,0
"37",36,1,"2010-10-15",67.18,2.72,NA,NA,NA,NA,NA,211.8137436,7.838,0
"38",37,1,"2010-10-22",69.86,2.725,NA,NA,NA,NA,NA,211.8612937,7.838,0
"39",38,1,"2010-10-29",69.64,2.716,NA,NA,NA,NA,NA,211.9088438,7.838,0
"40",39,1,"2010-11-05",58.74,2.689,NA,NA,NA,NA,NA,211.9563939,7.838,0
"41",40,1,"2010-11-12",59.61,2.728,NA,NA,NA,NA,NA,212.003944,7.838,0
"42",41,1,"2010-11-19",51.41,2.771,NA,NA,NA,NA,NA,211.8896737,7.838,0
"43",42,1,"2010-11-26",64.52,2.735,NA,NA,NA,NA,NA,211.7484333,7.838,1
